TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  NW_004181557.1 Hydra vulgaris strain 105 unplaced genomic scaff...    435   2e-122
  scaffold_20                                                           362   1e-98 
  NW_004171590.1 Hydra vulgaris strain 105 unplaced genomic scaff...    354   5e-96 
  LJWW01000341.1 Exaiptasia pallida isolate CC7 scaffold342, whol...    352   2e-95 
  LJWW01000442.1 Exaiptasia pallida isolate CC7 scaffold443, whol...    350   7e-95 
  dspp_scaffold_6                                                       348   4e-94 
  scaffold_17                                                           343   1e-92 
  LJWW01000210.1 Exaiptasia pallida isolate CC7 scaffold211, whol...    338   5e-91 
  NW_018149715.1 Orbicella faveolata isolate FL unplaced genomic ...    335   2e-90 
  adi_Scaffold578                                                       335   3e-90 
  SczhEnG_750                                                           333   1e-89 
  NW_018150178.1 Orbicella faveolata isolate FL unplaced genomic ...    326   3e-87 
  afen_scaffold_521                                                     323   2e-86 
  dspp_scaffold_453                                                     321   6e-86 
  SczhEnG_1987                                                          311   9e-83 
  adi_Scaffold1951                                                      307   1e-81 
  adi_Scaffold1590                                                      236   3e-77 
  adi_Scaffold2375                                                      290   2e-76 
  afen_scaffold_222                                                     278   7e-73 
  NW_018149312.1 Orbicella faveolata isolate FL unplaced genomic ...    270   3e-70 
  SczhEnG_795                                                           266   4e-69 
  NW_018149812.1 Orbicella faveolata isolate FL unplaced genomic ...    262   9e-68 
  dspp_scaffold_7                                                       258   1e-66 
  NW_018149706.1 Orbicella faveolata isolate FL unplaced genomic ...    249   7e-64 
  adi_Scaffold42                                                        241   2e-61 
  NW_018150375.1 Orbicella faveolata isolate FL unplaced genomic ...    239   1e-60 
  adi_Scaffold482                                                       238   1e-60 
  SczhEnG_3349                                                          231   2e-58 
  SczhEnG_2993                                                          223   5e-56 
  NW_018149967.1 Orbicella faveolata isolate FL unplaced genomic ...    209   9e-52 
  LJWW01000021.1 Exaiptasia pallida isolate CC7 scaffold21, whole...    207   4e-51 
  adi_Scaffold2459                                                      204   3e-50 
  adi_Scaffold290                                                       204   4e-50 
  adi_Scaffold716                                                       191   4e-49 
  NW_004166929.1 Hydra vulgaris strain 105 unplaced genomic scaff...    197   4e-48 
  adi_Scaffold2451                                                      196   7e-48 
  adi_Scaffold1390                                                      186   9e-45 
  NW_018149531.1 Orbicella faveolata isolate FL unplaced genomic ...    182   2e-43 
  dspp_scaffold_175                                                     175   3e-41 
  adi_Scaffold439                                                       174   3e-41 
  dspp_scaffold_161                                                     174   3e-41 
  adi_Scaffold123                                                       174   4e-41 
  LJWW01000234.1 Exaiptasia pallida isolate CC7 scaffold235, whol...    174   4e-41 
  LJWW01000126.1 Exaiptasia pallida isolate CC7 scaffold126, whol...    170   6e-40 
  LJWW01000018.1 Exaiptasia pallida isolate CC7 scaffold18, whole...    169   2e-39 
  LJWW01000104.1 Exaiptasia pallida isolate CC7 scaffold104, whol...    167   6e-39 
  adi_Scaffold1570                                                      166   1e-38 
  adi_Scaffold3644                                                      165   1e-38 
  adi_Scaffold2042                                                      166   1e-38 
  adi_Scaffold293                                                       165   2e-38 
  afen_scaffold_56                                                      164   5e-38 
  LJWW01000070.1 Exaiptasia pallida isolate CC7 scaffold70, whole...    163   7e-38 
  SczhEnG_174                                                           160   6e-37 
  adi_Scaffold2848                                                      100   7e-37 
  NW_018149845.1 Orbicella faveolata isolate FL unplaced genomic ...    159   1e-36 
  dspp_scaffold_39                                                      158   2e-36 
  dspp_scaffold_346                                                     157   6e-36 
  afen_scaffold_994                                                     155   2e-35 
  NW_018150124.1 Orbicella faveolata isolate FL unplaced genomic ...    154   4e-35 
  dspp_scaffold_564                                                     154   5e-35 
  afen_scaffold_92                                                      154   7e-35 
  LJWW01000010.1 Exaiptasia pallida isolate CC7 scaffold10, whole...    151   4e-34 
  LJWW01000121.1 Exaiptasia pallida isolate CC7 scaffold121, whol...    147   5e-33 
  LJWW01000011.1 Exaiptasia pallida isolate CC7 scaffold11, whole...    147   5e-33 
  adi_Scaffold1239                                                      144   7e-32 
  SczhEnG_2520                                                          143   1e-31 
  afen_scaffold_15                                                      142   1e-31 
  afen_scaffold_13                                                      111   2e-31 
  adi_Scaffold3466                                                      142   2e-31 
  afen_scaffold_205                                                     142   2e-31 
  NW_018148835.1 Orbicella faveolata isolate FL unplaced genomic ...    141   3e-31 
  adi_Scaffold502                                                       140   5e-31 
  dspp_scaffold_111                                                     138   4e-30 
  scaffold_2                                                            137   5e-30 
  adi_Scaffold2077                                                      137   6e-30 
  SczhEnG_684                                                           137   6e-30 
  SczhEnG_2522                                                          137   8e-30 
  adi_Scaffold16                                                        137   8e-30 
  LJWW01000291.1 Exaiptasia pallida isolate CC7 scaffold292, whol...    137   8e-30 
  adi_Scaffold2578                                                      136   1e-29 
  NW_018150134.1 Orbicella faveolata isolate FL unplaced genomic ...    136   1e-29 
  NW_004167208.1 Hydra vulgaris strain 105 unplaced genomic scaff...    136   2e-29 
  scaffold_30                                                           135   2e-29 
  scaffold_8                                                            135   2e-29 
  NW_018148767.1 Orbicella faveolata isolate FL unplaced genomic ...    134   4e-29 
  scaffold_121                                                          134   7e-29 
  LJWW01000269.1 Exaiptasia pallida isolate CC7 scaffold270, whol...    133   9e-29 
  SczhEnG_3257                                                          132   1e-28 
  LJWW01000012.1 Exaiptasia pallida isolate CC7 scaffold12, whole...    132   2e-28 
  adi_Scaffold981                                                       132   2e-28 
  adi_Scaffold2788                                                      131   4e-28 
  LJWW01000100.1 Exaiptasia pallida isolate CC7 scaffold100, whol...    129   1e-27 
  afen_scaffold_74                                                      129   2e-27 
  LJWW01000038.1 Exaiptasia pallida isolate CC7 scaffold38, whole...    129   3e-27 
  SczhEnG_538                                                           128   3e-27 
  scaffold_213                                                          128   3e-27 
  LJWW01000743.1 Exaiptasia pallida isolate CC7 scaffold744, whol...    127   5e-27 
  dspp_scaffold_43                                                      127   5e-27 
  adi_Scaffold540                                                       126   2e-26 
  afen_scaffold_17                                                      125   2e-26 
  adi_Scaffold1068                                                      125   2e-26 
  scaffold_29                                                           124   6e-26 
  NW_018148696.1 Orbicella faveolata isolate FL unplaced genomic ...    123   1e-25 
  adi_Scaffold2134                                                      123   1e-25 
  SczhEnG_1170                                                          121   3e-25 
  LJWW01000632.1 Exaiptasia pallida isolate CC7 scaffold633, whol...    121   3e-25 
  SczhEnG_1153                                                          121   4e-25 
  afen_scaffold_1561                                                    120   6e-25 
  adi_Scaffold923                                                       120   7e-25 
  scaffold_153                                                          120   1e-24 
  adi_Scaffold825                                                       119   2e-24 
  SczhEnG_957                                                           119   2e-24 
  adi_Scaffold66                                                        118   3e-24 
  adi_Scaffold1566                                                      118   4e-24 
  NW_004169511.1 Hydra vulgaris strain 105 unplaced genomic scaff...    117   7e-24 
  adi_Scaffold588                                                       116   1e-23 
  adi_Scaffold971                                                       115   2e-23 
  LJWW01000772.1 Exaiptasia pallida isolate CC7 scaffold773, whol...    112   2e-23 
  SczhEnG_2530                                                          115   2e-23 
  SczhEnG_1469                                                          115   4e-23 
  LJWW01000894.1 Exaiptasia pallida isolate CC7 scaffold895, whol...  92.8    4e-23 
  afen_scaffold_113                                                     114   7e-23 
  LJWW01000170.1 Exaiptasia pallida isolate CC7 scaffold170, whol...    114   8e-23 
  adi_Scaffold1361                                                      113   1e-22 
  afen_scaffold_130                                                     113   1e-22 
  adi_Scaffold2121                                                      113   1e-22 
  adi_Scaffold446                                                       112   2e-22 
  LJWW01000392.1 Exaiptasia pallida isolate CC7 scaffold393, whol...    112   3e-22 
  adi_Scaffold273                                                       111   4e-22 
  LJWW01000029.1 Exaiptasia pallida isolate CC7 scaffold29, whole...    110   9e-22 
  dspp_scaffold_197                                                     110   1e-21 
  SczhEnG_2060                                                          110   1e-21 
  LJWW01000149.1 Exaiptasia pallida isolate CC7 scaffold149, whol...    109   2e-21 
  NW_018149571.1 Orbicella faveolata isolate FL unplaced genomic ...    109   2e-21 
  afen_scaffold_37                                                      109   2e-21 
  dspp_scaffold_57                                                      108   3e-21 
  SczhEnG_287                                                           108   3e-21 
  afen_scaffold_406                                                     108   4e-21 
  NW_018150091.1 Orbicella faveolata isolate FL unplaced genomic ...    108   4e-21 
  afen_scaffold_213                                                     108   5e-21 
  dspp_scaffold_3                                                       107   5e-21 
  scaffold_2514                                                         107   7e-21 
  scaffold_38                                                           107   7e-21 
  LJWW01000308.1 Exaiptasia pallida isolate CC7 scaffold309, whol...    107   9e-21 
  LJWW01000192.1 Exaiptasia pallida isolate CC7 scaffold193, whol...    107   9e-21 
  NW_018148507.1 Orbicella faveolata isolate FL unplaced genomic ...    107   9e-21 
  NW_018150112.1 Orbicella faveolata isolate FL unplaced genomic ...    107   1e-20 
  NW_018149189.1 Orbicella faveolata isolate FL unplaced genomic ...    106   1e-20 
  LJWW01000627.1 Exaiptasia pallida isolate CC7 scaffold628, whol...    106   2e-20 
  afen_scaffold_3                                                       105   2e-20 
  adi_Scaffold108                                                       105   2e-20 
  LJWW01000114.1 Exaiptasia pallida isolate CC7 scaffold114, whol...    105   2e-20 
  scaffold_139                                                          105   3e-20 
